"X","X.1"
"SpongeBob"," I'm only pretending to be dumb! It was our plan, remember?!"
"Mr. Krabs"," Well, it's the worst time of the day once again.  Closing time!"
"SpongeBob","  Mr. Krabs, you shouldn't talk about Squidward like that!"
"Patrick"," Oh, mine too!"
"SpongeBob"," It tingles when I laugh!"
"Patrick","  Pretty  good, SpongeBob."
"Mr. Krabs"," Well, what was it? What'd he say?"
"Squidward"," Er...he said...um, well he said..."
"SpongeBob"," But Mr. Krabs, we were only using our sentence enhancers."
"Mr. Krabs"," All right, you two foul mouths. As punishment for fouling the air in me restaurant with yer foul words, you're going to give the Krusty Krab a fresh coat of paint from top to bottom.  Ow, Ooh! Ow! My  foot! What   genius puts a  rock in a  path?! Can't you see I got a  foot here?! Oh! "
"Mr. Krabs","  No, please, not me mommy!  Wait, please don't tell me mother! I don't think her little old heart can take it!"
"SpongeBob"," Mama Krabs, he said  and then he said  again and said  and then he screamed at the top of his voice ! And he----Mrs. Krabs, he didn't care! Such a stream of  I have never heard in my days!"
"Squidward"," Ah, how I have dreamed of this day. Mr. Tentacles, Professor of Art. What a marvelous opportunity for the people of Bikini Bottom. Bring me your huddle masses of bored house wives and I will shape them into my image.  And I'll go down in history, someday. And there will be a wing with my name on it in all the museums of the world!"
"SpongeBob"," You are the teacher? To my pupil? This isn't art class, it's Heaven."
"SpongeBob"," I have no talent."
"SpongeBob"," How's this, Squidward?"
"SpongeBob"," I call it Rippy Bits. You take a bunch of old ripped of paper, and make a new picture out of it. See? You're on top...this...time. "
"SpongeBob"," Ohhh, it's so obvious. I would've never thought of that. I'm sorry, Squidward. I came here to learn and I arrogantly shoved your lessons.  I'll never be a great artist like you! I don't deserve your tutoring. I don't deserve to be in your presence.  I don't even deserve to use your doors! "
"Squidward"," Sorry, class dismissed. You're too late."
"Squidward"," Your search is over. I am Bikini Bottom's greatest artiste. I call this one ""Squidward en repose""."
"Squidward"," Fortune. "
"Squidward"," Yeah, no problem. You know, between you and me, this isn't my best work. Why don't you come back tomorrow and I'll have something that will really knock your socks off."
"Squidward"," Aww, c'mon SpongeBob. You've got yourself a pair of yellow dandies here. With my help, we'll turn them into tools of beauty."
"Squidward"," Really."
"Squidward"," Ah, ah. Wait, wait. Let me help. Let's start with the circle again."
"Squidward"," Forget about the book!  Ha! Look at all this mess SpongeBob.  What do all these little bits of paper make you want to do?"
"Squidward"," Right."
"Squidward"," Here you go, buddy. "
"SpongeBob"," La la la la, la la la la la!  You're my twelfth catch of the day. I'm gonna call you ""Twelvey.""  Coochie coochie coo!  Bye, Twelvey!  Oh! It's you!  Well it's just you and me again, I've caught and named every jellyfish in Jellyfish Fields at least once. Except you, No Name."
"Mr. Krabs","  Messing with the patty's formula, that's mutiny! Why I oughta...!"
"SpongeBob"," You okay Mr. K?"
"Mr. Krabs"," Well, keep dreaming.  This'll be on your time."
"SpongeBob"," But, sir, how many jellyfish do you need?"
"Mr. Krabs","  Then go out there and get me some more jellies!"
"SpongeBob","  Here you go, Mr. Krabs!"
"Mr. Krabs","  Oh, that'll never do. More!"
"SpongeBob","  Wrong number.  I guess Gary forgot to pay the electric bill!  Gary, is that you? Gary?  Uh, yeah, good idea, Gary, there's probably some candles in the kitchen.  Hello, what's this? What are you doing here, oh delicious one? A little snack will calm my nerves! Mmm... a Krabby Patty with blue jelly.  Blue jelly!  Hey, old No Name? What's happening?"
"SpongeBob"," Mr. Krabs? No! Now I know why you brought me here. But what can we do? "
"Mr. Krabs"," Uh... uh... This... This isn't what it looks like, SpongeBob! Why... uh... We're just... uh... having a little tea party!"
"SpongeBob","   Something that should've been done a long time ago!"
"Mr. Krabs","  Whew!"
"SpongeBob"," Freedom! Freedom!"
"Mr. Krabs","  I'm taking jelly off the menu. "
"SpongeBob"," I can't believe I'm representing the Krusty Krab in the Fry Cook Games."
"Patrick"," Hey, SpongeBob."
"SpongeBob"," Hi, Patrick."
"SpongeBob"," You have to be a fry cook."
"Patrick"," Oh, come on. You're just flippin' patties."
"SpongeBob"," Hey, flipping is not as easy as it sounds!"
"Patrick"," Fingernails! Fingernails! Fingernails!"
"SpongeBob"," You don't even have fingernails."
"Patrick"," Yellow!"
"SpongeBob"," Pink!"
"Mr. Krabs"," What's that smell in the air? I smell Plankton!"
"Plankton"," Good. Because today, the Chum Bucket is going to kick......your carapace!"
"Mr. Krabs"," That's what you think, but I got me a champion. SpongeBob! Show him! Look at him. In his prime. You ain't got no chance!"
"SpongeBob"," What do you mean?"
"Patrick"," I'm mean!"
"Plankton"," Now get out there!"
"Mr. Krabs"," And win..."
"SpongeBob"," For the Krusty Krab!!! "
"SpongeBob"," Top that, Pinky."
"Plankton"," Better than you!"
"Plankton"," Don't forget, he called you pink!"
"Mr. Krabs"," ♪Counting me money, money sweeter than honey, money, money, this, money, money, that, profits will make me wallet fat!♪"
"Mr. Krabs"," And here's yours, SpongeBob."
"Squidward"," Well, I'm not paying that cheapskate Krabs one cent, and I suggest you do the same."
"Squidward"," And you want to keep working here, right?"
"Squidward"," Alright SpongeBob, now listen up. I'm going to have to teach you how to strike. First, we must get rid of our uniforms,  they are a symbol of our oppression. I want you to throw your hat on the ground like so.  Now, stomp it into the dust! Your turn, SpongeBob.  That's the idea. Now, throw it on the ground."
"Squidward"," Not a picket fence, you ding-dong. Picket sign!"
"SpongeBob"," Krusty Krab is unfair! Mr. Krabs is in there! Standing at the concession! Plotting his oppression!"
"SpongeBob"," Anything for an aspiring fry cook.  So, did you come down to help out the cause?"
"SpongeBob"," Like this, Squidward?"
"SpongeBob"," That was a great speech, Squidward. You practically had them eating out of your hands."
"Mr. Krabs"," Oh! Uh, evening, Mr. Squidward. Uh... I was just in the neighborhood and I, uh... thought I'd drop by to... beg you to come back to work! The Krusty Krab is a wreck! I'm ruined without you and the little yellow guy.  The teenagers I hired is ruining the place! And the worst part is, they won't leave me alone! "
"Mr. Krabs"," I got a bad feeling in the pit of me wallet."
"SpongeBob","  Two soups, please. Thank you.  You keep the change.  What?  I saw it! It was big! It was all wiggly! And it ate everything!"
"Patrick"," We should take Bikini Bottom, and push it somewhere else! "
"Mr. Krabs"," There ain't no one fool enough to take on an Alaskan Bull Worm! "
"Sandy","  I'll catch your worm for ya, that is, if you're willing to pay! "
"SpongeBob"," But Sandy, you don't know!"
"Sandy"," Don't worry, SpongeBob. I won't be long. "
"Mr. Krabs","  Go get 'em, Sandy! We have the utmost confidence in you!  Now, what was that idea of yours? "
"Plankton","  Ooh!  You're all mine you sweet Krabby Patty. Ooh hoo-hoo-hoo! Ah ha ha ha ha ha!  Initiating launch sequence.  Krabby Patty, here I come!"
"Plankton"," Oh, can it, computer wife. Can't you see I'm exhausted? Why don't you go make yourself useful and synthesize me up some grub? "
"Plankton","  At last!"
"Plankton"," Why- why not?"
"Plankton"," Review?"
"Plankton"," I thought I sent you away, Cretin!"
"Plankton"," What?"
"Plankton"," Uh, sure kid, you're uh... you're on register now."
"SpongeBob"," It's okay, Squidward. I'm official, look!"
"Plankton","  So, have you two known each other long?  Huh?"
"Plankton","  Hope you like gray. "
"Plankton"," If it'll get you out of my antennae.  Go crazy."
"Plankton"," In a cosmic sort of way, yes."
"Plankton"," I command you to stop that. Stop that and return to your post!  Where's the off button on this thing?"
"Plankton","  Take cover from what?!"
"SpongeBob"," Yeah, but the worst part is..."
"SpongeBob"," Knick-knack, the Patty's back! You did it, Mr. Plankton. Victory screech! "
"Mr. Krabs"," Oh, but I will. Even if I have to come back tomorrow, and the next day, and the next day, and the next day, and the next day...  And the next day, and the next day, and the next day, and the next day..."
"Patrick"," I could look at it all day. "
"SpongeBob"," Uhh, Patrick? "
"Patrick"," Just a minute, Ah!  I could have sworn I was laying on my back. "
"SpongeBob"," Hey, it's Larry, the lifeguard. "
"Patrick"," Oh, what do you want to be a lifeguard for? Nobody really likes those guys.  Being a lifeguard is so dumb. All they do is blow, blow, blow on their stupid whistles, rub, rub, rub that white stuff on their noses and show off their gross misshapen bodies! "
"SpongeBob","  White stuff. You think I'm a lifeguard?"
"SpongeBob"," Hi. "
"SpongeBob"," I'm not just ready.  I'm ready, Freddie."
"Squidward"," There's my hat... and there's that, and here we go. "
"SpongeBob"," Wey, wook. It's Widward!"
"Squidward"," Oh, yeah? What does it take to be a member, besides being a moron?  Moron...  as a requirement. "
"Squidward"," Oh, what do you two zeros know about fitting in?  Why, you should be begging me to join!"
"Squidward"," "
"Patrick"," Yeah. You could be bald and have a big nose."
"SpongeBob","  Squidward, we must never question the wisdom of the Magic Conch. The club always takes its advice before we do anything."
"Squidward"," Uh, hey, uh, SpongeBob... that sure is a lot of food you got there."
"SpongeBob"," Why don't you ask... the Magic Conch, Squidward?"
"Squidward","  Hey, y-you guys have it all wrong. I-I love this, uh, piece of plastic.  Uh, hello there. Magic Conch, uh, I was wondering... uh, should I have the spaghetti or the turkey?"
"Squidward"," No?! What do you mean no? I'm starving here!"
"Patrick","  Here, let me try. Magic Conch, could Squidward have some of this yummy, delicious, super-terrific sandwich?"
"Squidward"," Give me that!  Could I have something to eat?"
"Squidward"," Can't you say anything else but no?"
"Squidward","  Abra."
"Squidward"," All hail the magic conch! "
"SpongeBob"," Gosh, I didn't know Squidward had hay fever. I'll do him the kindness and plant him some hypoallergenic flowers.  You're on your way. I bet you're thirsty.  Huh?  I'm not taking my eyes off you. "
"Squidward","  What the...?"
"Squidward"," SpongeBob, where's my order?"
"Squidward"," In case you've forgotten, here's how things work. I order the food, you cook the food, the customer gets the food.  We do that for forty years and then we die. Sounds like a pretty good deal to me, what do you say? "
"Squidward"," Take it easy, the food's no good here, anyway."
"Mr. Krabs"," I was five years old and me father gave me a dollar. I loved that dollar. Loved it like a brother. Me and that dollar went everywhere together."
"Mr. Krabs"," Come back!"
"Squidward","  You forgot your mayonnaise. "
"Squidward"," Yeah, well, not me."
"SpongeBob","  What? What did you say?"
"SpongeBob","  Never had a Krabby Patty?! Well, you've got to have one right now!  No wonder you're always so miserable! Here, try this."
"SpongeBob"," Open up the tunnel, here comes the train. Choo-choo... "
"SpongeBob"," But it's good for you!"
"SpongeBob"," A quarter?"
"SpongeBob"," Come on, Squidward."
"SpongeBob"," It's delicious..."
"SpongeBob"," But, it doesn't make any sense. The Krabby Patty is an absolute good. Nobody is immune to its tasty charms."
"Squidward"," I need a Triple Krabby Supreme on a kelp bun,  with— with extra sea pickles and, and burn it to a crisp, okay?"
"Squidward"," What do I have to do? Eat one out of the garbage? "
"SpongeBob"," I always come to work at 3am. This is when I count the sesame seeds.  What are you doing here?"
"SpongeBob"," And why are you acting so nervous? And why are you sweating so much? And why do you look so hungry? And... "
"SpongeBob"," No, worse, it'll go right to your thighs!"
"SpongeBob","  I was just wondering...  ...is it the homework pencil on the left side of the paper next to the quiz pencil, or over on the right side all by itself? Or..."
"SpongeBob","  Hi, I'm SpongeBob!"
"SpongeBob"," Can I be excused for the rest of my life? "
"SpongeBob"," Phew, I thought for sure that was gonna be...  Flats! Uh, hello, sir. Kick any good butts lately? Yeah, I remember last week, I was kicking this guy's butt real good. And he leans over and says, 'Hey, you know, life's like a bucket of wood shavings.  Except for when the shavings are in a pail, then it's like a pail of wood shavings! "
"Patrick","  Hi, I'd like to place an order for delivery."
"SpongeBob"," Patrick? Is that you? "
"Patrick","  No, they're not closed. I know, you want olives."
"SpongeBob"," Patrick, you there?"
"SpongeBob","  He's still gonna kick my butt! "
"SpongeBob","  Excellent choice, my darling. Coming right up!  He wants one of everything."
"Mr. Krabs"," The Buttered Barnacles are a touch of heaven. "
"SpongeBob"," More Diet Red Tide? "
"Mr. Krabs"," Somethin' ain't quite right."
"SpongeBob"," Sorry, Mr. Krabs. I thought he might need some air."
"Mr. Krabs"," Uhh, he was a credit to health inspectors everywhere, and, uhh..."
"Mr. Krabs"," Now listen, SpongeBob, when we get to the Krusty Krab, I want you to take that  shovel and bring it around to the back entrance and stuff...err, I mean, stow it in the freezer. Understand?"
"SpongeBob"," Oh man, this is so gross!  The back door is locked. What am I gonna do? "
"Mr. Krabs"," Okey dokey, SpongeBob!"
"Mr. Krabs"," Here's your soda! Always a pleasure to serve the folks in blue. Well, goodbye now!"
"SpongeBob"," The dark deed you requested is done, sir."
"SpongeBob","  It's the zombie! "
"SpongeBob"," Hey, Mr. Krabs, look. We passed the inspection!"
"SpongeBob"," Thank you! "
"SpongeBob"," With...  ...imagination, I can be anything I want! A pirate!  Arrrrr! A football player!  Hup!"
"Squidward","  Okay, let's see. I'm imaging myself watching TV...  ...and there it is! Can I have it, SpongeBob?"
"Squidward"," Yes! But those sound effects the avalanche, the, the, the..."
"Patrick"," Don't forget the second avalanche."
"Squidward","  I'll show them!  There's got to be one in here!  Ah! This hat box should do nicely.  Why haven't I worn this yet? "
"Squidward"," I got to try to relax. Perhaps I can drown out their childish games with a little TV. "
"SpongeBob"," Welcome aboard, Squidward! You've just set sail on the S.S...  ...Imagination... where our only destination is fantastic adventure! Where do you want to go first?"
"Patrick","  Beep-beep-beep."
"SpongeBob","  Arr."
"Squidward","  Hello, what's this?  ""This plaque is to commemorate the brave pirates who gave their lives to keep this box safe from the Robot Menace. Lest we forget... Ohh!  I've got to find that button quick!  It's got to be around here somewhere. I don't see anything! It's just an empty box! Maybe it really was their imagination. Oh... get it together, Squidward! What are you saying? I mean, do I really believe that if I sit here and pretend to drive a race car that I'm suddenly going to start hearing noises?  What the...?  It actually works! I can't believe it! Ha-ha! Oh boy! This beats TV by a long shot!  Whooo-hoo-hoo! This is the most fun I've ever had! "
"SpongeBob","  Autograph!"
"SpongeBob","  There you go. Come again, sir. "
"SpongeBob"," Nothing."
"SpongeBob"," Me, uh... either. "
"SpongeBob"," Squidward, if Mermaid Man finds out, he'll kick me out of his fan club for sure! Please don't tell!"
"SpongeBob","  Do-o-o-n't!"
"SpongeBob"," I'm sorry, Squidward, but you made me do it!"
"SpongeBob"," Uhh, I can do it! "
"Patrick"," A Squidward action figure!  Let me play with him!"
"SpongeBob"," No, Patrick!"
"Patrick"," Oh...  And then comes a giant fist! "
"SpongeBob","  Pat, you don't understand! This is serious! I don't know how to unshrink him! He could be stuck like this for the rest of his life."
"Squidward"," N-n-n-n-no. "
"SpongeBob"," Patrick, I'm sorry I doubted you."
"Patrick"," You're kidding!  Good thing I still got this pickle! "
"SpongeBob","  This must be the night driving part of the test. "
"SpongeBob"," Class just isn't the same without Mrs. Puff. Just the thought of her alone and afraid in jail makes me think about her being alone and afraid in jail. I don't know how she's going to survive. "
"Patrick"," How are we gonna do that? "
"SpongeBob"," Alright, put the money in the bag!  Put it in!"
"SpongeBob"," Sure.  Here ya go."
"Patrick"," Yeah! I didn't think we'd get Mrs. Puff out of jail this fast! "
"SpongeBob"," Don't worry, Patrick, we'll get into jail this time. "
"SpongeBob"," Mrs. Puff, it's me, SpongeBob!"
"SpongeBob"," We've got to remind her that there is a life other than this. Mrs. Puff, if you come with us, I'll stay after school and decorate the whole classroom."
"SpongeBob"," Psst!  Hop in, Mrs. Puff."
"SpongeBob"," No! What are you doing? Help! Help!  No, no, please! I have a snail to feed! I can't go to jail now! This is not a good time! No, please, please! I'm not a criminal! "
"Squidward"," Thanks, but no, thanks, Major Stupidity. You and General Nonsense over there will have to fight without me.  Got 'em Both.  Grrrrrrrr! "
"Squidward"," Fascinating.  Now, where was I?  What?"
"Patrick","  Can I use your bathroom?"
"Squidward"," No."
"Patrick"," Please?"
"Squidward"," No, no, no, I misled you, it's for adults too! Give me that peace treaty!  There! Let the war continue!"
"Squidward"," No! Wait, why?"
"SpongeBob"," If you're in this war, then where's your fort?"
"Squidward","  Okay, fine! You want a fort?  There. There's your fort! Now..."
"Patrick"," Man, was I using mine wrong. How much?"
"SpongeBob"," Really?"
"Mr. Krabs"," A perfect fit, eh son?"
"SpongeBob","  All I have is 5."
"Mr. Krabs"," Well-- I don't know... but, okay! But only because you look so dashing in that hat."
"Mr. Krabs"," Fresh out."
"Mr. Krabs","  SpongeBob!  There he is with me million dollar hat. I gotta get it back before he finds out how much it's worth."
"SpongeBob"," Hey, Mr. K. How's the antique biz treating you?"
"Mr. Krabs"," Oh, well, um... you're... you're beautiful.  Uh... heh-heh.  All right, now give me the hat back."
"SpongeBob"," I'm not? "
"Mr. Krabs"," Not sick of that boring old hat, yet?"
"SpongeBob"," Uh-uh."
"Mr. Krabs"," Well, then I guess you don't want to see what's in my bag."
"SpongeBob"," Seems a little dangerous. "
"Mr. Krabs"," Foxy Grandpa?  So, what do you say? Your silly hat for all these hats?"
"SpongeBob"," Oh, my gosh! A floating shopping list! "
"Mr. Krabs","  Now, listen, SpongeBob."
"SpongeBob"," Cursed?"
"Mr. Krabs"," Uh... Smitty something."
"SpongeBob"," He must've been number one."
"Mr. Krabs"," Immediately..."
"SpongeBob"," Right now?"
"Mr. Krabs"," Ahh! SpongeBob! What are you doing here?"
"SpongeBob"," Sure there is. He's buried out in Floater's Cemetery."
"Mr. Krabs"," Huh?  Ahh!  Hold yourself together, Krabs. It's just a boneyard... filled with bones.  Ah!  What's that? It's Squidward. What's he doing here?  ""Here lies Squidward's hopes and dreams."" What a baby. Where was I? Oh yeah. Gotta find Smitty Whatsajipster.  Nope. Nope. No. No. No. Uh-uh... No. Not there.  I've checked every headstone in this cemetery and there's no Smitty Wabbablabba buried here. Think, Krabs. Maybe something SpongeBob said will give you some type of clue. "
"SpongeBob"," You'll never guess what I found in my sock last night! Go ahead, guess! "
"Mr. Krabs","  Ah!! Barnacles! I'll never find--  The grave! Am I really going to defile this grave for money? Of course I am!  Jackpot!  Ooh. It's beautiful. Come to papa.  Hey, come on, Smitty, let go!  Rest in pieces, Smitty.  I got the million dollar hat. "
"Mr. Krabs"," Oh, no. I've seen this on the late show. You ghoulish fiends hold me down and take turns nibbling on my innards. Then you eat my brain and leave my body for the buzzards."
"Mr. Krabs"," Well, that's a spirit breaker. "
"Squidward","  What a baby."
"Mr. Krabs","  Don't throw your buts at me, Mr. Squidward. We got a timetable to keep. This thing airs tonight."
"Squidward","  Where's that coming from? "
"SpongeBob"," You're right! Wow, he recognized me. "
"Squidward"," Well, SpongeBob? Are you just going to stand there like a half-wit, mouth agape? Or are you going to fill these peoples' orders? "
"SpongeBob"," They want juggling and jokes at the same time? Tough crowd. "
"SpongeBob"," Well, the most I can juggle is three, but the show must go on. Whoa! "
"Mr. Krabs"," Well, SpongeBob, looks like you've finally found your calling. "
"Mr. Krabs"," Let's see...  ...5, 10, 25, blue, applesauce. Everything looks to be in order...except, , where is it?  Where is it?"
"Squidward"," What?"
"Mr. Krabs"," Me? I ain't saying nothing that would matter to anyone who would be able to take a lie detector test!"
"Squidward"," You're saying something!"
"Mr. Krabs"," Show me your tentacles."
"Squidward"," What?!"
"Squidward"," I'm out of here!"
"Squidward"," Where have you been?"
"Squidward"," SpongeBob, I don't need your help. I am ready to unlock my potential. I could be anything I set my mind to.  I could be a football player, or a king, or a spaceman."
"Squidward"," SpongeBob?"
"SpongeBob"," A spaceman?"
"SpongeBob"," There, there. You can come live with me.  Here you go, Squidward. You can sleep in my bed. "
"SpongeBob"," It's no trouble. Is there anything else I can do for you, Winner?"
"SpongeBob"," Here you go."
"SpongeBob"," He's just having a hard time getting his confidence back. "
"Squidward"," I can't drink that."
"Squidward"," No! No! It's already contaminated by the bad lemon! It won't work!"
"Squidward"," Condensed soup from a can? Disgusting! Now you've ruined my appetite! Go fetch me something to read!"
"SpongeBob"," I've got a better idea!  Why don't I call someone whose job it is to fix it?  You know why? Because when I want a job  done I get someone with a job  to do  that job !"
"SpongeBob","  Oh, I'll be changing alright, but not into a bathing suit. Wait until Sandy sees that I brought my karate gear! Hi-yah!  Hi-yah!  Sandy won't beat me this time, because I've got the elements on my side. The elements of surprise. Hi-yah! "
"Sandy"," SpongeBob, are you ready?"
"SpongeBob"," I may be down, but I'm not out! "
"Sandy"," Hi-yah! "
"Sandy"," How tough am I? "
"SpongeBob"," That's impossible! "
"SpongeBob"," So, your name's Reg?"
"SpongeBob"," Well, then, I guess it's time to take it up a notch. "
"Patrick"," You tell 'em, SpongeBob! "
"SpongeBob"," Patrick, what're you doing here?"
"SpongeBob"," Afternoon, Reg."
"SpongeBob"," Yeah, I feel pretty sorry for the next guy who looks at me funny."
"Patrick"," Okay, but I must warn you. I happen to be a world championship... uhh...  ...kick boxer. "
"SpongeBob"," I don't care if you're the demon seed of Davy Jones! You're goin' down, Tubby! "
"SpongeBob"," Weenie Hut General!?"
"SpongeBob"," Hurry, Gary, the scary robot movie's on."
"SpongeBob"," Oh, I've got nothing to worry about. And now to get a good night's sleep.  Robot! Oh my gosh!  Huh? "
"Mr. Krabs"," Hey, that's pretty catchy. Bee-bee-boo-bop, bee-bee-boo-beep. Yeah, that's not bad. I love this young people's music. "
"SpongeBob"," Squidward, why are you wearing my hat on your nose?"
"SpongeBob"," Well, keep your eyes peeled.  They're everywhere. Back to work! "
"Mr. Krabs"," Come on, little buddy, play it again.  Please? One more time, for me."
"Mr. Krabs"," Bee-boo-boo-boo-boo-bop,  bee-boo-boo-bop,  boo-boo-bee-bop?  Not bee-boo-boo-beep?  Bop?  Beep?  Boo-boo-bop? "
"SpongeBob"," I'm serious, Squidward! Mr. Krabs is a robot. And I can prove it, too."
"Mr. Krabs","  What is it, boy?"
"Squidward"," No, wait, SpongeBob!"
"Squidward"," Okay, so tell me, does Mr. Krabs look anything like that?"
"SpongeBob"," Well, in the movie the hero teams up with a buddy, and they get the poop on the robot."
"SpongeBob"," Oh, yeah."
"SpongeBob"," I got an idea.  Keep an eye on him, Squidward. Don't fall for any of his robot tricks.  If Robot Krabs won't tell us where Mr. Krabs is, maybe one of his little robot friends will. "
"Squidward"," Go get the toaster. "
"SpongeBob","  This is the last robot, Squidward."
"Mr. Krabs","  Squidward!"
"SpongeBob"," Of course, scallops love worms! "
"Patrick"," Do something, SpongeBob!"
"SpongeBob"," Uhh...uhh...uhh... Blah-blah-blah, look at the funny face! Doo, doo-doo, doo-doo, look at the funny face!  Look at the funny face!"
"Patrick"," I know, good thing there's two of us."
"SpongeBob"," You know Patrick, since this scallop doesn't have parents, we should raise it ourselves."
"Patrick","  It sure is cute when it's asleep."
"SpongeBob","  Yeah.  Shh! "
"Patrick"," Well, good night, SpongeBob."
"SpongeBob"," Good night, Patrick.  Patrick, breakfast is ready! "
"Patrick","  Ahh! Wish I could, but I gotta get going."
"SpongeBob"," Going? Where are you going?"
"Patrick"," Phew, what a day."
"SpongeBob"," Oh great, you're home! Now you can help me with the baby."
"Patrick"," Oh yeah, your break. Uh, tomorrow, I promise."
"SpongeBob"," Uhh, ok, tomorrow."
"Patrick"," Hey, I'm missin' the coconut!"
"SpongeBob"," You haven't been helping at all with Junior!  We made a commitment and you're not doing your share! You never do anything."
"Patrick"," Oh, that's not that much."
"SpongeBob","  Hmmm?"
"Patrick"," No more foolin' around. From now on, I'm Super-Dad! I'll work straight through lunch so I can get home on time. So make sure you save a big ol' stinky diaper for me to change, and you can take the night off, pal!"
"SpongeBob","  Great, so I'll see you at six o'clock."
"Patrick","  Six o'clock."
"SpongeBob"," Six o'clock."
"Patrick"," Oh, what a relief.  For a second there, I thought you were mad at me."
"SpongeBob","  Do you remember what you said to me this morning?"
"Patrick","  I don't need this. "
"SpongeBob"," What? Where do you think you're going?"
"Patrick"," You know, it's not as easy as it looks. Sometimes I gotta move the antenna, sometimes I lose the remote,  and sometimes my butt itches real bad!"
"SpongeBob","  Oh, you poor, poor thing! By the way, you forgot your briefcase! "
"Patrick"," You know what that means?"
"SpongeBob"," And that's the kind of work you're doing?"
"Patrick","  There's that stupid noise again!"
"SpongeBob"," Oh, that's not a stupid noise. That's just Junior about to jump out of that two-story window."
"SpongeBob"," Junior? Hey, he's flying!"
"Patrick"," This is the hardest part of every parent's life, I assume."
"SpongeBob"," Despite all we've been through, it was worth it."
"SpongeBob","  Heave-ho! "
"Mr. Krabs"," What stupid barnacle told you that?"
"Squidward"," Uhh… "
"Mr. Krabs","  Secret...?"
"Mr. Krabs"," But, let me give you two a warning. This here paint is absolutely permanent.  It will never come off. So if I see even one drop on anything but wall, I'll have your rear ends cut off...  …and mounted over me fireplace! So, have fun with the job. "
"Patrick"," Yeah, SpongeBob? "
"SpongeBob"," Mr. Krabs sure has a lot of expensive treasures to drip paint on.  Do you think we should take this stuff off the walls?"
"Patrick"," Good, just don't pay me."
"SpongeBob"," First we need to set up the tarp. "
"Patrick"," And mount them on the wall.  Careful, SpongeBob. Careful, SpongeBob. SpongeBob, careful. Careful, SpongeBob. Careful, SpongeBob! Careful, SpongeBob!  Careful, SpongeBob!"
"SpongeBob","  Patrick, the lid's already off."
"Patrick","  Can you move it along, I'm all out of time cards."
"SpongeBob","  No problem. Here I go.  Yeah! Huh?  Barnacles!  What could be worse than a giant paint bubble!?"
"Patrick","  Nonsense! "
"SpongeBob"," Pat, no!  We did it!  We painted the whole house and without getting a drop of paint on anything but the--  Flappin' Flotsam! What's that?!  We're dead, Patrick! Do you know what that is?"
"Patrick"," Oh, now I see it!"
"SpongeBob"," This is not good, Patrick! This is not good! Mr. Krabs is gonna be home soon, and when he sees what we did to his first dollar… "
"Patrick"," Nope.  Oof! Oof! Oof!"
"SpongeBob","  Nothing's working!"
"Patrick"," I don't see where you're going with this...  hey, a dollar!"
"SpongeBob"," Our butts are saved, Patrick! Now all we have to...Patrick, no!  No…why'd you put it in the...  Grab it, Pat, grab it! Hurry, hurry!  Aww, Pat, no, no!  Get it, Pat, get it, get it, get it!  Oh, no-ho-oh!"
"SpongeBob","  We're all done, sir. Everything looks great."
"Patrick","  I don't want to be butt-less!"
"Mr. Krabs","  Did you two get paint all over me first dollar?"
"Patrick"," We're so sorry!"
"Mr. Krabs"," Nah, I just like to mess with ya!  The old man's still got it!  Aww, crud. I really gotta learn to say it, not spray it."
"SpongeBob"," Does this mean I get to make a Krabby Patty now?"
"SpongeBob","  I'm ready!  I'm ready!  I'm ready! "
"Patrick"," Squidward, your ceiling is talking to me!"
"Patrick"," The ceiling is right Squidward. You're not a very good employee."
"SpongeBob"," Sign here please.  Initial here, and here, and here, and here.  Oh look, it's a picture I took of you the first time I ever came here!  Look at you, so young and happy!  Where do the years go? Hey, what's that? ""Plan Your Own Party Kit""? Hey Lou, how much?"
"SpongeBob"," And as long as we stick to this schedule, our party is a guaranteed success! This is gonna be the coolest party ever! "
"SpongeBob","  Two down, 175 to go. Oh, I almost forgot...  These name tags eliminate the need for awkward introductions.  Oh, more guests! "
"Patrick"," Yeah."
"SpongeBob"," What's going on here? The laughter isn't scheduled until 903! You want to throw a party, do it at your house, Patrick. "
"Patrick"," ""Nod politely."" "
"Patrick"," Yeah. Knock, knock."
"SpongeBob"," Gee, I wonder why they don't hear me?  Oh no!  They're not using the topic cards! They're ad-libbing!  Now they're mad at Patrick! He's hogging the deviled eggs!  Look at those poor souls, they're so bored, they've gone mad! Oh, no. The party's falling into chaos without my hosting talents to guide it! "
"Patrick"," You wanna talk to SpongeNob?"
"SpongeBob"," Yes... no, Patrick! I'm SpongeBob! I'm outside!"
"Patrick"," Thanks.  Here you go, SpongeBob. "
"SpongeBob"," Phone in punch bowl? That's not even on the schedule! "
"Squidward"," Give me that!  Stealing my mail, eh? You're lucky I don't report you to the authorities!"
"Patrick"," Make way for a couple of ontre-prenyouers! "
"SpongeBob"," O.K. Patrick, this is it! The first step on our road to living fancy! Just follow my lead."
"SpongeBob"," Wow... what is it?"
"SpongeBob"," Let's try next door!"
"SpongeBob"," We're selling chocolate bars. Would you like to buy one?"
"SpongeBob"," —lady.  We're not doing so well, Patrick. We need a new approach, a new tactic."
"Patrick"," Yeah, he did... I'm going back to buy more bags!"
"SpongeBob"," No, wait Patrick!"
"Patrick"," I love you."
"SpongeBob"," I think you laid it on a teensy bit thick there, old pal. Let me try."
"Patrick"," We got him now!"
