"X","X.1"
"SpongeBob"," Gary. Now that my horrific incident of terror is over, how about some breakfast?  The most important meal of the day, serving it up Gary's way-- pop!  Enjoy, buddy. Hmm, you know, I've been feeding this to Gary for years, and I don't even know what it tastes like.  Bleah!  Bleah!  Bleah!"
"SpongeBob"," That was the worst thing I've ever tasted. Oh well, at least I'll never have to do it again.  Barnacles! All these shenanigans made me late for work.  Uh oh.  All right! "
"Patrick"," Hi, SpongeBob!"
"SpongeBob"," Hi Patrick! La-la-la-la-la-la-la-la! La-la-la-la-la-la-la-la-la-la! "
"SpongeBob"," Ah, ah, ah, patience, good people. A great story can't be rushed. However, I will skip ahead to the Krusty Krab.  Order up!  One Krabby Patty grilled with the fiery warmth of my beating heart. Enjoy."
"SpongeBob"," Is there a problem?"
"SpongeBob","  While it is against my philosophy to disagree with the customer, I must point out that I am in fact wearing a name tag, right here.  Huh? "
"Squidward"," Uh, SpongeBob?"
"SpongeBob"," Oh, Squidward, it's terrible! It's the most terrible thing that's ever happened to me. I lost my name tag. Pourquoi!"
"Squidward"," SpongeBob, take it easy! I'm sure you can get a new one."
"SpongeBob"," But I don't want a new one, Squidward. My name tag is out there somewhere. Lost... Hungry... Who will help it? What if someone's using it? "
"SpongeBob"," I'm innocent, I tell ya!  Squidward, what happened?"
"Squidward"," Hmm? Oh, you fainted because you lost your name tag or something."
"SpongeBob"," Huh? "
"Squidward"," SpongeBob, will you get a hold of yourself? Since when is losing your name tag the end of the world? "
"Mr. Krabs"," Attention, all employees! Just a quick heads-up, boys. There's going to be a surprise uniform inspection in one hour. Anyone who doesn't pass gets the boot!  This boot, to be exact. It's very stinky, and you'll have to wear it all day. See you in an hour. "
"Squidward"," SpongeBob, if you really want to find your name tag, just retrace your steps."
"SpongeBob"," Retrace my steps? Squidward, you're a genius."
"Squidward","  Huh. Huh. A genius? Well, I don't know about that, but..."
"SpongeBob","  Cover me till I get back, okay?"
"Squidward"," Oh, sure, sure.  A genius? Well, how about... Hey! "
"SpongeBob"," Let's see, if I'm going to retrace my steps, I got to remember everything I did this morning. "
"Patrick"," Hi, SpongeBob."
"SpongeBob"," Oh, hi Patrick.  You said hi to me this morning, right?"
"Patrick"," As I do every morning."
"SpongeBob"," Well, I need you to do it again."
"Patrick"," That wasn't part of the deal, SquarePants!"
"SpongeBob"," Patrick, what are you talking about?"
"Patrick"," My hellos aren't just some tape recording that you can rewind and play over and over. They're special!"
"SpongeBob"," Patrick, this is an emergency! I lost my name tag this morning, and I need to retrace my steps."
"Patrick"," You lost your name tag? "
"SpongeBob"," Okay, Patrick, you know the plan, right?"
"Patrick"," I got it, I got it. You're gonna retrace your steps and when you walk by me I say ""hi"", just like this morning."
"SpongeBob"," Perfect. Hmm, I guess I should start with when I woke up.  I sure hope this works.  Good morning, world, and all who inhabit it!  So far, so good.  I don't see my name tag up here.  Now that my horrific moment of terror is over, how about some breakfast?  The most important meal of the day, serving it up Gary's way.  Bleah! Okay, next I just have to walk outside and say hi to Patrick.  Patrick!"
"Patrick"," What?"
"SpongeBob"," You were supposed to say hi to me."
"Patrick"," Hi."
"SpongeBob"," Oh. All right, let's take it from the top. "
"Patrick"," Hi, SpongeBob."
"SpongeBob"," Don't forget your line this time!"
"Patrick"," I won't."
"SpongeBob"," Good morning, world, and all who inhabit it.  The most important meal of the day. La-la-la... Gary's way. Bleah.  Patrick, why didn't you say hi to me?"
"Patrick"," What's my motivation?"
"SpongeBob"," Forget the motivation. Just say hi. "
"Patrick"," Hi, Patrick! Oh wait, I'm Patrick! I'm sorry. Sorry.  I'm sorry. Let's try it again.  Hi, SpongeBoob! Ha! SpongeBoob! I sai... I sai...  Who's SpongeBoob? I said SpongeBoob! Again, again. Sorry people.  I've got the giggles."
"SpongeBob"," Oh, what's the use? I'll never find my name tag in time for inspection."
"Patrick"," Well, what did you do after I said hi to you this morning?"
"SpongeBob"," Hmm, let's see.  I skipped merrily to the Krusty Krab, said hello to Old Man Jenkins, placed an apple on Mr. Krabs' desk... and that's about it. Oh, and these two guys threw me in the dumpster.  Good one, guys! "
"Patrick"," That's it! Your name tag is in the apple on Mr. Krabs' desk!"
"SpongeBob"," Patrick, you're a genius. Oh wait, he's probably thrown it away by now."
"Patrick"," Well, then we'll look in the dumpster! "
"SpongeBob"," Eh, what is that stench?"
"Patrick"," That is the stench of discovery. Come on, buddy. I'll give you a boost.  Hop on, pal."
"SpongeBob","  Hey, it's not so bad once you get used to it."
"Patrick"," I wish I had a nose."
"SpongeBob"," Come on in, buddy. The garbage is fine."
"Patrick"," Cannonball! "
"SpongeBob"," You look over there and I'll look over here."
"Patrick"," Okay. "
"SpongeBob"," Patrick?"
"Patrick"," I'm looking. I'm looking."
"SpongeBob"," Patrick? Patrick!"
"Patrick","  I'm looking as fast as I can."
"SpongeBob"," Patrick!  Thank you. "
"Patrick"," Here, let me get that. Hey, look! A Stingray 5000 single. Hey, these guys rock. Why would anybody throw this away?"
"SpongeBob"," Have you  forgotten what we're looking for knee-deep in yesterday's Top 40 songs?!"
"Patrick"," Yes."
"SpongeBob"," I'll give you a hint. Two words. First word my. Second word name tag."
"Patrick"," Could I have another hint?"
"SpongeBob","  Patrick, I would love to sit here and play Twenty Questions with you, but I've only got  one minute till inspection.  One minute?! Hurry, Patrick, we don't have much time. "
"Patrick","  Hey, SpongeBob..."
"SpongeBob"," Not now, Patrick."
"Patrick"," I know where your name tag is. "
"SpongeBob"," Where?! Where?!"
"Patrick"," Uh... I can't remember."
"SpongeBob"," Patrick, I don't have time for this! "
"Patrick"," There it is!"
"SpongeBob","  Where?!"
"Patrick"," Uh...  I forgot again."
"SpongeBob"," Patrick, are you with me or against me?"
"Patrick"," Could you give me a hint?  There! I see it!"
"SpongeBob"," Yeah, yeah, yeah... the boy who cried name tag. If you're not going to help me, then just go crawl back under your rock!"
"Patrick","  Well, at least I don't wear my shirt backwards."
"SpongeBob"," My shirt backward...  What the...?  My shirt's on backwards!  I had my identity all along.  Oh, and just in time. Thanks, Patrick. "
"Patrick","  Don't mention it, buddy. "
"Mr. Krabs"," Fall in for inspection! All right, you two...  Hat and uniform seem to be in order.  Hmm, promise me you'll shave tonight and you pass."
"Squidward"," Hoorah."
"Mr. Krabs","  Okay, boy, your turn."
"SpongeBob","  I think you'll find everything shipshape."
"Mr. Krabs","  Ack! Jumpin' jellyfish! What's that stench?"
"SpongeBob"," Uh... discovery?  And that's how I got my identity back. Well, that's my story. "
"SpongeBob","  Thanks, uh...  Betty."
"Mr. Krabs"," Attention, Krusty Krab crew! All hands report immediately!"
"SpongeBob","  Fry cook SpongeBob reporting, sir!"
"Squidward","  What's all the yelling about?"
"Mr. Krabs"," Today is the 25th anniversary of the first time me arch-enemy Plankton ever tried to steal me secret Krabby Patty formula. "
"Plankton"," Can I have the secret formula?"
"Mr. Krabs"," No."
"Plankton"," Okay. "
"Mr. Krabs","  But he was persistent!"
"Plankton","  Pretty please?"
"Mr. Krabs"," Uh-uh. "
"Mr. Krabs"," He used disguises!  Super science!  Civil disobedience!  And I always came out on top!"
"Squidward","  Fascinating."
"Mr. Krabs"," But thousands of failures have made him crafty, so keep your eyes open!  You'll never know what trick he'll use to steal me secret Krabby Patty formula."
"SpongeBob"," Ooh, how weird! A machine made to look like a customer."
"Mr. Krabs"," SpongeBob. Why don't you go hose out the men's room?"
"SpongeBob"," With pleasure, sir!"
"Mr. Krabs","  I'll take this one.  Welcome to the Krusty Krab, sir. May I help you?"
"Mr. Krabs","  You sure you don't want a Krabby Patty?"
"Mr. Krabs"," Uh, sure.  Here you go."
"Mr. Krabs"," Hm. I was sure it was one of Plankton's tricks. Well, at least his money's good. "
"Plankton"," AH-HAH!"
"Mr. Krabs"," Plankton! You knew I would never distrust a dollar!"
"Plankton"," That's right, Krabs. Now hand over the secret Krabby Patty formula!"
"Mr. Krabs"," Or what?"
"Plankton"," ...I don't know. I never thought I'd get this far."
"Mr. Krabs"," Well then, allow me to suggest your next move. "
"Plankton"," Curse you,  Kra-a-aillllllllllllllllllaaaaaaaaaaaaaaaaaaaaaaaaaaaaa! "
"Mr. Krabs","  And now for the chaser! "
"Plankton"," You just wait, Krabs! Next time I'll... ah, who am I kidding? At least I can go home to a wife who understands. "
"Plankton"," I don't want to talk about it."
"Plankton"," Leave me alone."
"Plankton"," And she's off, ladies and gentlemen."
"Plankton","  I'm a failure!"
"Plankton"," Henchmen?"
"Plankton"," I like the sound of that. I'll canvas all the seediest lowbrow dives in town to find my minions. And I know just how to speak their language!  Felicitations, malefactors! I am endeavoring to misappropriate the formulary for the preparation of affordable comestibles! Who will join me!?"
"Plankton"," I don't get it. No matter what I do, I always end up being squashed by someone bigger than me."
"Plankton"," That's okay. I'm no different than the millions of other Plankton in the sea.  The Plankton family has always been pushed around and stepped on. Wait! That's it! Acting alone, we're powerless, but united, the Plankton family could be a real pain in the fanny!  Krabs may think one Plankton is no problem, but let's see him take on two, or ten, or a hundred, or a thousand!  But why stop there? I'll gather every family member from every corner of the ocean. The entire Plankton family under one roof! Krabs won't stand a chance against the staggering intellect of a million super-smart criminal masterminds!  They're here! Welcome, brethren! "
"Plankton"," I've been away from home longer than I thought. "
"Plankton"," Uh..."
"Plankton"," Alright! I get it! I mean, uh, come inside. Make yourself at home.  I'd like you to meet my computer wife, Karen."
"Plankton","  Yes, that's my first name. "
"Plankton","  Will you please-!"
"Plankton"," All right, as I was saying...  Okay, we all know Sheldon's a funny name."
"Plankton"," Good. Ahem, to continue.  Only you can bring honor...  ...and dignity...  ...back to the Plankton name.  For years, it has been my goal to acquire the secret formula for...  Aha!  Okay, that's enough!  Bottom line we invade the Krusty Krab so I can steal the secret formula. What do you think?"
"Plankton"," Well, what do you want?"
"Plankton"," Help me get the secret formula and you can have as much root beer as you can drink!  Victory, thy name is Plankton! "
"Mr. Krabs"," Well, Mr. Squidward, it's almost closing time, and we haven't seen eye or antennae of ol' Plankton for hours. Yes, sir, I think this time, he's finally given up for..."
"Plankton","  Attention Krusty Krab management! This is your better speaking."
"Mr. Krabs"," What?! "
"Plankton","  I have the restaurant surrounded. Give me the secret formula or I'll destroy the Krusty Krab! "
"Mr. Krabs"," Ah, you and what army, bug?"
"Plankton"," What army? What army?! Look around you, Krabs! "
"Mr. Krabs"," You planted grass?"
"Plankton"," GRASS?!? "
"Mr. Krabs"," Uh-oh.  You'll never get away with it, Plankton. "
"Plankton"," You're right. The pipes are much too narrow. Besides, what I really want is the Krabby Patty formula."
"Mr. Krabs"," Well, you might as well forget it. The formula is locked away in me safe, and I'll never give ya the combination. "
"Plankton"," Silence!  I think you'll find we're more than capable of figuring it out for ourselves. Oh, boys?  That's it, a little to the left..."
"Mr. Krabs"," Curse you Plankton, and your ability to join together to form a working human ear! "
"Plankton"," Hot dog!  Yes. It's mine! The formula's mine. After all these years, it's finally mine!  Let it be known that on this day, I, Sheldon J. Plankton, single-handedly overthrew the Krusty Krab!"
"Plankton"," Eh, and, of course, I had a little help from the family. "
"Mr. Krabs"," Plankton, wait. You can't look at the formula."
"Plankton"," Begging won't help."
"Mr. Krabs"," I'm telling you, you won't be able to handle the truth. There are some things in this world that weren't meant for mortal eyes."
"Plankton"," Eye."
"Mr. Krabs"," Eye."
"Plankton"," I don't care. Drum roll please!  Finally, after all these years, I'm about to find out what makes a Krabby Patty taste so good.  The secret recipe for one Krabby Patty is... a pinch of salt...!"
"Mr. Krabs"," Plankton! Wait!"
"Plankton","  ...Three teaspoons of chopped onions...!"
"Mr. Krabs"," I'm warning ya...!"
"Plankton","  ...A cup of love...!"
"Mr. Krabs"," Don't do it!"
"Plankton"," ...mixed together with the most important ingredient of all... four heaping pounds of freshly ground...!  ...Plankton?! "
"Mr. Krabs"," I warned ya."
"Plankton"," "
"Mr. Krabs"," Hey. Why ain't you running?"
"Mr. Krabs"," Get out of here! "
"SpongeBob"," Hey guys. Did I miss anything? "
"Squidward"," Mr. Krabs, is this really the secret ingredient for the Krabby Patty?"
"Mr. Krabs"," Of course not!  And Plankton will probably figure that out and be back again to find out what the real formula is. But don't worry, boys, the formula's safe from harm. I got it hidden in me most secret hiding place, a place no one, not even Plankton, would ever figure out. "
"Squidward"," Let me guess. It's at home, under your mattress."
"Mr. Krabs","  Curse you, Squidward! "
"SpongeBob","  Huh?   Ooh!  Phew! I salute you, oh majestic jellyfish.  Your command of the sky is unmatched. Floating just out of the reach of my net, but near enough that I can see your untamed beauty.  ♪If only I could join you there in the air. Floating free without a care. I wish I could fly. And see things with a different eye.♪  ♪I would fly so very high and touch the sky.♪  ♪And never have to ask why it is that I can't fly♪  Wait a minute, I'm forgetting the words of Grandpa SquarePants. "
"SpongeBob","  I'm gonna follow his advice, by gum. I'll invent a flying machine! "
"Patrick"," What's that contraption, SpongeBob?"
"SpongeBob"," That, Patrick, is a flying machine."
"Patrick"," "
"SpongeBob"," What's so funny?"
"Patrick"," Well, it's like my grandpa used to say. "
"SpongeBob"," Well, here I go, Patrick!  I'm off to fly with the jellyfish! Ignition, check!  Landing gear...  check! Complimentary peanuts...  check-a-roo.  Ready for takeoff! "
"Patrick"," You cut a hole in Farmer Jenkins' grain silo!"
"SpongeBob"," Don't remind me."
"Patrick"," We better do what he says. He knows how to grow food! "
"SpongeBob"," Well, it took me all night, but here they are. The new blueprints! I wasn't even close with that last one. Propellers, rudders...  This one's gonna fly!  I can feel it. Ready, Patrick?"
"Patrick","  Ready!"
"SpongeBob","  It's working, Patrick! I'm flying! I'm...  falling!  Ooh! "
"SpongeBob"," This is it, Patrick. The physics are all here. This time, I'm gonna fly! "
"Patrick"," Oh boy, a birthday party!"
"SpongeBob","  No, Patrick. This is the SquarePants Flyer Mark Three.  All you do is remove the brick, or ballast, and...  Huh?  Well, back to the drawing board."
"Patrick"," Can we have the cake now?  Happy, happy birthday to you! "
"SpongeBob"," Patrick, get ready to say ""Eureka!"""
"Patrick"," Okay!"
"SpongeBob"," Go!  It's working! I'm flying! "
"SpongeBob"," Do not be afraid, earthbound people. I am not a flying monster, I am just one of you.  D'oh!  Ow! Patrick! Ow! Patrick! Ow! Patrick! Ow! Patrick!  Excuse me, sir, but I would like to return this kite."
"SpongeBob"," ""Local nutcase tries to fly""?! I'm a nutcase because I follow my dreams? Well, they laughed at the guy who invented light bulbs too!"
"SpongeBob","  You'll see. "
"SpongeBob"," Go on and laugh, but it is a sad day in Bikini Bottom when a guy is ridiculed for having dreams! "
"SpongeBob","  Huh? "
"SpongeBob","  Ooh!  Well, it can't get any worse. D'oh!  I guess I spoke too soon."
"SpongeBob"," There they go again, Gary.  I suppose I'll never join them in the sky. I'll be stuck on the ground, sentenced to a flightless life.  Oh well. I guess all dreams aren't meant to come true.  Back to reality. "
"SpongeBob"," No, Gary, my dreams are silly.  Hello? No, this isn't the Bird Man of Bikini Bottom. What?  No, I certainly do not live in a birdcage. Who is this? Joe Momma? Well, listen up, Joe.  I hate to break it to you, but flying is impossible.  I have to go now. My head just hit the ceiling. Huh? Hey! Look, Gary!  I... I think I'm flying! Jellyfish Fields, here I come! "
"SpongeBob","  ♪I'm flying. I'm flying!♪"
"SpongeBob"," ♪They laughed, they scoffed, before I had liftoff.♪"
"SpongeBob"," ♪I'd love to hang around to say I told you so.♪  ♪But it's off to Jellyfish Fields I go!♪  ♪Roads and streets are not for me.♪ "
"SpongeBob","  Gotcha!  Next time, try the elevator. "
"SpongeBob","  ♪I have never felt so free!♪  ♪High in the sky is the place for me.♪  ♪Helping friends from up above.♪  ♪These are the things that I love!♪  ♪I'll help Mr. Krabs reclaim his dime.♪"
"Mr. Krabs"," I'm rich!"
"SpongeBob"," ♪And I'll save Patrick from this mime!♪"
"Patrick"," Thanks, buddy!"
"SpongeBob","  ♪Even Plankton needs some help, when he gets tangled in the ke-heh-heh-heh-heh-heh-heh-heh-heh-heh-heh-heh-heh-elllllllp!♪ "
"Plankton"," Please put me down!"
"SpongeBob","  I'm coming! "
"SpongeBob","  That's enough good deeds for one day. I've got a date with a flock of jellyfish."
"Mr. Krabs","  SpongeBob! Son! I need you and your magical pants!"
"SpongeBob"," But Mr. Krabs, I invented these pants so I could fly with the jellyfish! If I keep doing favors for people I'll never make my dreams a reality. "
"Mr. Krabs"," But SpongeBob, it's an emergency!"
"SpongeBob","  Let's roll!  Where to, Mr. K?"
"Mr. Krabs"," Uh... my garage."
"SpongeBob"," You've got it!  What's the emergency, Mr. Krabs?"
"Mr. Krabs"," Are you sure you're up for it, boy?"
"SpongeBob"," I think my pants can handle it."
"Mr. Krabs"," I need you..."
"SpongeBob","  Yes?"
"Mr. Krabs"," To clean..."
"SpongeBob"," Clean up crime?"
"Mr. Krabs"," My garage."
"SpongeBob","  That's your emergency?"
"Mr. Krabs"," But SpongeBob, everyone knows it's easier to clean a garage when you can fly!"
"SpongeBob","  All right, Mr. Krabs. I'll clean your garage. But after this, no more favors!  All done, Mr. Krabs."
"Mr. Krabs","  And the recyclables?"
"SpongeBob"," Aw, shrimp.  Finally! Jellyfish Fields, here I come!"
"Patrick","  SpongeBob!"
"SpongeBob"," Patrick's in trouble."
"Patrick","  SpongeBob! SpongeBob!"
"SpongeBob","  What is it, buddy?"
"Patrick"," Will you scratch my tummy?  Ah..."
"Squidward"," Clean my bathtub? "
"Plankton"," Help spread the word of evil? "
"SpongeBob","  Wait a minute! Wait a minute! Wait a minute! I'm supposed to be at Jellyfish Fields right now. But instead, I'm rubbing your scalp. And I don't even know who you are."
"SpongeBob"," Dennis? "
"SpongeBob","  If I don't give these feverish favor-seekers the slip, I'll never get to fly with the jellyfish. "
"SpongeBob"," "
"SpongeBob"," I'm almost at Jellyfish Fields. I'm gonna make it!"
"SpongeBob"," Well, it was fun while it lasted.  I guess I'm not meant to fly after all.  Huh? Hey! My jellyfish friends are helping me fly! Without pants! I guess it just goes to show...  ♪You don't need a plane to fly♪  ♪Plastic wings may make you cry♪  ♪Kites are made for windy days. Lawn chair with balloons... fly away♪  ♪Inflatable pants... you may as well skip!♪  ♪If you want to fly, all you need... is friendship. Yeah.♪  Goodbye, jellies! You taught me a valuable lesson. Although I'm not quite sure what it was."
"Patrick","  Hey! Let's fly down to the pizza house for a slice."
"SpongeBob"," No more flying for me, Patrick. I'll leave that to the jellyfish. "
"Patrick"," Suit yourself. "
"SpongeBob","  Did Patrick just...?  Nah! "
"SpongeBob"," Wait for it... "
"Squidward"," Another day, another migraine. Heh, heh, mi... "
"Squidward"," ...graine. Heh, heh, heh."
"SpongeBob"," Ahh, isn't it great working at the Krusty Krab, Squidward? Huh? Isn't it? Working here?"
"Squidward"," Yeah, great."
"SpongeBob"," Yeah."
"Squidward"," Yeah."
"SpongeBob"," Aww, yeah."
"Squidward","  Yes..."
"SpongeBob"," Hold that thought, Squidward. I'm doing the parking lot for early morning litter patrol. May Neptune shine brightly on my harvest.  Litter.  Looks like someone missed the trash basket, huh, Mr. Candy Wrapper?  Kids these days.  I've never seen such an epidemic! Well, at least it's all over now.  Where is all this litter coming from?!  Not on my watch.  Sir, I will have you know it's against the law to litter."
"SpongeBob"," Yes. "
"Squidward"," How's it going, Lieutenant?"
"SpongeBob"," Well, let's just say I hope our litterbug there saved room for his just desserts.  Yeah, just desserts."
"Squidward"," Whatever. Huh?  SpongeBob, don't you know who that is?"
"SpongeBob"," Who?"
"Squidward"," That's the Tattletale Strangler."
"SpongeBob"," Who?"
"Squidward"," The Tattletale Strangler!  He's promised to strangle anyone who turns him in. "
"SpongeBob"," He seems kind of angry with us, eh, Squidward?  Squidward? Squidward?"
"SpongeBob"," Hi, officers. So, he's going to jail, right?"
"SpongeBob"," Yeah, Strangler."
"SpongeBob"," Hey, that looks like me! "
"SpongeBob"," You nice officers will protect me, right?"
"SpongeBob"," Those officers are right. I need a bodyguard!  Mr. Krabs! There's a maniac after me! I need a bodyguard."
"Mr. Krabs","  I wasn't five-time 'Golden Claws' in the navy for nothin'! When he sees me moves, he'll be running scared. So, where is this little bully? Down at the park? The sodey shop? What does he look like, eh, boy?"
"SpongeBob"," This would be him, Mr. Krabs. "
"Mr. Krabs","  The Tattletale Strangler?  Go away, SpongeBob! Take your death cloud with you! "
"SpongeBob","  Ugh, that's it. I gotta get out of town 'til I can find a bodyguard. "
"SpongeBob"," You don't understand, mister. I need protection from the scariest guy in town. Here's his picture. "
"SpongeBob"," I tattled on him, and now he wants to strangle me with his diabolical hands! I hope they're not dirty. "
"SpongeBob"," Hmm, looks good to me. You're hired! I feel safer already. What's next? "
"SpongeBob"," Or that pebble.  Or that stick.  Or that receipt for the Phony Baloney Mustache Emporium! "
"SpongeBob"," Oh, bodyguard, my body is in your guarding hands. What do we do first?"
"SpongeBob"," We could go to my house and turn off all the lights!"
"SpongeBob"," Yes, excellent.  Ah, but first I gotta do a few errands."
"SpongeBob"," Quick is my middle name!  Let's see...paper towels. This one says 'best paper towel around' this one says 'best paper towel in town'. Hmm... in town... around... in town... around... what do you think, bodyguard?"
"SpongeBob"," I'll take both! "
"SpongeBob"," Hmmm."
"SpongeBob"," I'm not sure if these are my pants.  How about this one, bodyguard? Too overbearing?"
"SpongeBob"," Here we are. SquarePants Manor! Bodyguard, let me just take this opportunity to say you're the best bodyguard a fella could hope to have."
"SpongeBob"," Protect me?"
"SpongeBob"," Don't mention it, Strangler.  I mean, bodyguard. Now where'd I put my key? "
"SpongeBob"," Well, I can't find 'em. You wanna take a look?"
"SpongeBob"," Sure! With these spiky cleats, anything is possible!  Ya!"
"SpongeBob"," I'm trying, but my cleats are stuck in your corneas! "
"SpongeBob"," Don't be mad, bodyguard. Let me just grab the key I keep under the mat and we can get inside.  There you are, you little rascal. Now, to put the key in the lock, which should activate the tumblers, thus opening the door.  Step inside..."
"SpongeBob"," Well, here we are!"
"SpongeBob"," I know, Isn't it great?  Ooh."
"SpongeBob"," A surprise party to celebrate my perfect on-time percentage at work?  Oh, how'd you guys know?"
"Patrick"," It's on the invitations you sent us.  Let's boogie! "
"SpongeBob"," Bye, everybody, thanks for coming! Bye Mr. Krabs, bye Plankton, bye Sandy, bye Larry, bye Pearl, bye Mrs. Puff, bye Squidward, bye eh the rest.  Ahh, alone at last."
"SpongeBob"," Just you, me, and the floorboards.  Yeah. "
"SpongeBob"," How did you guys know today is my birthday?"
"Patrick"," We just do what the invitations say. Let's boogie some more! "
"SpongeBob"," Thanks for coming!  Alone again."
"SpongeBob"," Uh-huh."
"SpongeBob"," Oh yeah."
"Patrick"," Great parties, huh?"
"SpongeBob"," Wait! We can trust Patrick. He's my best friend."
"Patrick"," I'm the Strangler? Oh, I should've known! I gotta turn myself in! "
"SpongeBob"," So, Patrick's the Strangler. Gee, you think you know a guy."
"SpongeBob"," He's not?"
"SpongeBob"," Hey, how'd you do that without shaving cream?"
"Squidward"," Did someone say 'party'? "
"SpongeBob","  Wait, bodyguard, I need protection! "
"SpongeBob"," I'm not safe! Come back! "
"SpongeBob","  Good idea, bodyguard. He'll never find us up here.  Good thinking, bodyguard. The Strangler could have been on that plane.  Bodyguard, bodyguard!"
"SpongeBob","  The Strangler! "
"Patrick"," Hey, Mac,  what're you in for?"
"SpongeBob"," Well, Patrick, here it is, the Palace of Pranks, the greatest novelty shop in Bikini Bottom. All the greatest pranksters shop here. This is where I got my gag  seanut brittle can."
"Patrick"," Oh boy, Seanut Brittle--Gimmie!"
"SpongeBob"," Patrick, wait, it's a booby trap, remember?"
"Patrick"," Nice try, SquarePants, but it's not gonna work this time. I'm gonna have some of your delicious Seanut Brittle!  Where's the Seanut Brittle?"
"SpongeBob","  That gets funnier every time you say it, Patrick. Come on, let's go inside."
"Patrick","  Seanut Brittle?"
"SpongeBob"," Ah!  Nothing compares to the smell of cheap plastic novelty items.  Pranks, gags, and gross-out toys as far as the eye can see!  Isn't it everything I said it would be, Patrick?"
"Patrick","  Hey, Seanut Brittle!  Oh, darn it, not again!"
"SpongeBob"," Great, Frank. This is my friend Patrick. He wants to become a prankster too."
"Patrick"," I don't get it."
"SpongeBob"," You see, Patrick, Frank here is the master. I learned all I know about pranks from him. Ok, Frank, let's see what you've got."
"Patrick","  I don't get it."
"SpongeBob"," What can we get  for one dollar?"
"SpongeBob"," What else have you got?"
"SpongeBob"," Nah."
"SpongeBob"," No."
"SpongeBob"," Eww! Don't you have anything good?"
"SpongeBob"," Wow, invisible spray!"
"Patrick"," But I can see it."
"SpongeBob"," Gee, Patrick, just think of the pranks we could pull with this."
"SpongeBob"," Thanks, Frank.  Here it is, Patrick. The ultimate prank-- invisible spray."
"Patrick"," What are we gonna do with it?"
"SpongeBob"," I know! We'll go spray the park bench and then sit on it, and when people walk by, we'll be floating in midair."
"Patrick"," That's the ultimate prank! Good idea, SpongeBob!"
"SpongeBob"," Well, let's get started."
"Patrick"," OK, I'm ready."
"SpongeBob"," Any particular reason you took your pants off?"
"Patrick"," Well, that stuff stains clothes, right?"
"SpongeBob"," That it does, Patrick, that it does. Good thinking. Here, hold this a second.  Ok, Patrick, give me the can."
"Patrick"," I think since spraying the park bench was my idea, I should get to spray it."
"SpongeBob"," Patrick, spraying the park bench was my idea."
"Patrick"," Yeah, but I said it was a good idea!"
"SpongeBob"," Give me that thing."
"Patrick"," Hey, the invisible spray works!"
"SpongeBob"," Oh my gosh, Patrick, help me find our clothes!"
"Patrick"," I gotta hand it to you, SpongeBob. You look kinda funny."
"SpongeBob"," Righty, where are you?  No one messes with Righty!  We'll see how you like it!  Kind of gives you an empty feeling, huh?"
"Patrick"," Yeah.  I see what you mean."
"SpongeBob"," No guts, no glory!"
"Patrick"," Oh hey, I think this thing is empty."
"SpongeBob"," Oh, no, it can't be! How are we going to pull off the ultimate prank? Thanks a lot, Patrick. You used the last of it."
"Patrick"," Hey, I think I found our pants.  Oops! Here, these are yours."
"SpongeBob"," Oh, forget the pants, Patrick. Let's get home and wash this paint off."
"Patrick"," Hey SpongeBob, do you know what time it is?"
"SpongeBob"," Oh sure, it's...half past invisible."
"Patrick"," Gee, it's getting late."
"SpongeBob"," Let's ask this guy. Excuse me sir, but do you have the time?"
"SpongeBob"," Thank you."
"Patrick"," Don't mention what?"
"Patrick"," Me."
"Patrick"," Hey, I'm no ghost! The nerve of that guy and his driving eyeballs."
"SpongeBob"," Wait a second, Patrick, my brain just hatched an idea."
"Patrick"," Lay it on me."
"SpongeBob"," OK, we're invisible, right?"
"Patrick"," Yeah."
"SpongeBob"," If that guy thought we were ghosts, we could haunt everybody in Bikini Bottom. Oh, it's the ultimate prank."
"SpongeBob"," Let's go scare us some suckers!"
"Sandy"," Huh?  Well, that's funny, I thought I heard voices. Huh?  I thought I left that glass of peanut juice on the table.  And didn't I toss that old lamp out yesterday? And since when did I acquire all these portraits of Patrick?"
"Sandy"," I knew it was you guys! Alright, joke's over. Take off the sheets.  It is ghosts!"
"SpongeBob"," Boy, we really scared her!"
"Patrick"," Who's gonna be our next victim?"
"SpongeBob"," A better question would be, ""Who isn't?"""
"Squidward"," Huh?"
"Squidward"," Ghosts! "
"SpongeBob"," It's official-- we're the greatest pranksters ever. The whole town thinks we're ghosts."
"Patrick"," Yeah."
"SpongeBob"," There's only one guy left to scare, and we'll have pranked everybody in Bikini Bottom--  Mr. Krabs."
"Patrick"," It says he isn't scared of ghosts."
"SpongeBob"," We'll see about that!"
"Mr. Krabs"," Ghosts? Ha! I ain't afraid of no ghosts! Every sailor knows a ghost won't come near a fella as long as he's wearing his spotted neckerchief...  And his dried-up sea leprechaun.  And a bit of gold never hurt.  But to be on the safe side, I'm also wearing me pants in a melvin knot,  got me shivering timber brace,  and the hairs on the back of me neck are taped down.  And I'm all wrapped up in a suit of anti-ghost armor. And if none of this stuff works, I've got me secret weapon—the specter deflector!  So just try and get me, you ghosts! Bring it on. "
"Mr. Krabs"," Wha? "
"SpongeBob"," Krabs, we've come to haunt you."
"Mr. Krabs"," Stay back, I'm well-armed!"
